Month,Month of Year,Year,Agency,Total Incoming Calls,Calls Answered,Calls Answered Rate,Total Wait Time (min),Avg Time to Answer (s),Help Point Activations,Help Point Total Wait Time (min),Help Point Avg Time to Answer (s),Social Media Mentions,Social Media Responses Sent,Social Media Customer Satisfaction Score,Written Feedback Received,Written Responses Sent,Alerts and Service Notices: Web,Alerts and Service Notices: Twitter,Alerts and Service Notices: Displays,Alerts and Service Notices: Service email / text alerts,Alerts and Service Notices: Elevator / Escalator status email / text alerts,Alerts and Service Notices: Posters
05/01/2017,5,2017,NYCT,85566,63081,73.7,411078,391,97630,16156,9.9,16565,6045,,6935,10749,6534,5928,6627,6824,,
06/01/2017,6,2017,NYCT,92766,65591,70.7,486467,445,101871,16275,9.6,20183,6639,,7311,10447,6603,5756,6779,6442,,
07/01/2017,7,2017,NYCT,83214,63437,76.2,383794,363,94177,14006,8.9,37771,8051,,6413,9252,4917,4185,5921,4752,,
08/01/2017,8,2017,NYCT,79682,62359,78.3,359604,346,81590,12278,9,37448,9127,,5632,8756,5305,4398,6406,5110,,515
09/01/2017,9,2017,NYCT,82530,63524,77,371615,351,84171,14291,10.2,33883,8023,,6036,8692,6311,5160,6371,6152,,510
10/01/2017,10,2017,NYCT,94538,72251,76.4,458794,381,86435,14775,10.3,36803,8523,,7424,10524,6574,4617,6409,6144,,705
11/01/2017,11,2017,NYCT,80297,62192,77.5,364860,352,77086,12652,9.8,35322,7688,,6291,9107,6526,3345,5750,6161,,740
12/01/2017,12,2017,NYCT,72994,58965,80.8,278118,283,84754,14267,10.1,28970,6257,3.46,5589,7975,5705,3024,6243,5199,,655
01/01/2018,1,2018,NYCT,83292,68215,81.9,301283,265,71577,11675,9.8,48728,10084,3.19,6551,9240,6106,3238,6908,5644,,870
02/01/2018,2,2018,NYCT,68631,58100,84.7,207223,214,63176,9717,9.2,35325,8525,3.22,5342,7417,4804,2596,5799,4461,,800
03/01/2018,3,2018,NYCT,76890,66646,86.7,196606,177,68706,11691,10.2,36012,7317,3.29,5662,8514,6676,3359,4846,6191,,530
04/01/2018,4,2018,NYCT,74117,63039,85.1,215383,205,67241,10820,9.7,38591,7369,3.16,5682,8116,5981,3197,6354,5771,,625
05/01/2018,5,2018,NYCT,78232,66856,85.5,214339,192,73819,12551,10.2,36760,8981,3.33,5951,9084,5884,3145,6360,6333,,730
06/01/2018,6,2018,NYCT,77163,61968,80.3,282987,274,79858,12898,9.7,21227,8588,3.35,5370,8420,5369,2745,4866,5551,,490
07/01/2018,7,2018,NYCT,78898,61595,78.1,334666,326,87921,14940,10.2,27324,9950,3.47,8152,11313,5309,2957,6044,4977,,600
08/01/2018,8,2018,NYCT,79871,64225,80.4,308280,288,84193,16319,11.6,32755,10500,3.5,7343,11513,5329,2928,4968,4230,,770
09/01/2018,9,2018,NYCT,78911,60523,76.7,350025,347,74859,13930,11.2,33816,8309,3.46,7468,12457,5255,2755,4563,3189,8482,625
10/01/2018,10,2018,NYCT,81267,70105,86.3,236020,202,72415,12167,10.1,34106,10147,3.29,7431,11773,5823,3597,5209,3776,9924,645
11/01/2018,11,2018,NYCT,72089,65255,90.5,147911,136,71730,12860,10.8,32231,9543,3.36,6629,9868,6048,3612,4314,4085,10845,580
12/01/2018,12,2018,NYCT,65946,58894,89.3,137419,140,78200,13810,10.6,30701,8620,3.42,5728,8964,5281,3352,2897,3596,10007,537
01/01/2019,1,2019,NYCT,69640,62742,90.1,140124,134,58824,9531,9.7,44061,11339,3.77,5873,9737,5225,3586,4708,3744,10471,697
02/01/2019,2,2019,NYCT,62873,55529,88.3,149928,162,51599,8085,9.4,42274,11146,3.7,5024,7287,5027,3116,4760,3262,9038,415
03/01/2019,3,2019,NYCT,72413,65596,90.6,139938,128,61475,9637,9.4,42059,11810,3.7,5734,7899,6185,3322,3263,3722,10498,480
04/01/2019,4,2019,NYCT,75958,63518,83.6,242427,229,65432,11211,10.3,48625,12118,3.62,6690,8884,6983,3592,4760,3985,11133,620
05/01/2019,5,2019,NYCT,81633,68794,84.3,266003,232,68897,12713,11.1,46788,12610,3.7,6472,9064,6791,3401,3866,3899,12316,600
06/01/2019,6,2019,NYCT,75428,64286,85.2,241073,225,65103,12122,11.2,46737,13907,3.77,6742,9127,5566,3078,4202,3492,11139,460
07/01/2019,7,2019,NYCT,80349,68371,85.1,266647,234,80025,15221,11.4,58930,15819,3.63,8226,10527,5631,3294,3617,3554,12145,620
08/01/2019,8,2019,NYCT,76257,67110,88,222582,199,73898,13690,11.1,42082,13149,3.8,6744,9219,5177,2916,3246,3315,16825,420
09/01/2019,9,2019,NYCT,80564,67234,83.5,299191,267,67436,11735,10.4,42635,13453,3.68,7663,10242,5002,3035,2194,3464,11680,480
